strategy,fold,MAE,RMSE,R2,bias,pred_actual_mean_ratio,scale,year1_scale,year2_scale,window,fold_multiplier,w
horizon_scale,C,831300.8690667277,1121717.8669731682,0.5957117491658365,-595886.1927559415,0.812741463155882,,0.85,1.0,,,
horizon_scale,D,893573.6624219179,1156774.677579167,0.5223769514450167,-778545.8352657536,0.7570681652560872,,0.85,1.0,,,
horizon_scale,C,999046.5949433272,1370228.0912573861,0.39673298625931774,-810132.3249323583,0.7454141484377524,,0.9,0.7,,,
horizon_scale,D,806561.0378630138,1058571.8477882908,0.6000290864521118,-635825.5126520547,0.8016015867417395,,0.9,0.7,,,
horizon_scale,C,954072.8838692871,1306379.0826934215,0.45164440201109135,-759079.4090082266,0.7614576387112287,,0.9,0.75,,,
horizon_scale,D,806561.0378630138,1058571.8477882908,0.6000290864521118,-635825.5126520547,0.8016015867417395,,0.9,0.75,,,
horizon_scale,C,913513.2436398538,1247852.8791525017,0.49967682927745927,-708026.4930840951,0.7775011289847048,,0.9,0.8,,,
horizon_scale,D,806561.0378630138,1058571.8477882908,0.6000290864521118,-635825.5126520547,0.8016015867417395,,0.9,0.8,,,
horizon_scale,C,876464.8743574041,1195431.5216697727,0.5408302680584215,-656973.5771599634,0.7935446192581808,,0.9,0.85,,,
horizon_scale,D,806561.0378630138,1058571.8477882908,0.6000290864521118,-635825.5126520547,0.8016015867417395,,0.9,0.85,,,
horizon_scale,C,843521.1101206582,1149950.1957373917,0.5751047183539781,-605920.6612358318,0.8095881095316568,,0.9,0.9,,,
horizon_scale,D,806561.0378630138,1058571.8477882908,0.6000290864521118,-635825.5126520547,0.8016015867417395,,0.9,0.9,,,
horizon_scale,C,817246.5492001829,1112260.579645552,0.6025001801641292,-554867.7453117003,0.825631599805133,,0.9,0.95,,,
horizon_scale,D,806561.0378630138,1058571.8477882908,0.6000290864521118,-635825.5126520547,0.8016015867417395,,0.9,0.95,,,
horizon_scale,C,796074.9957751371,1083176.3273228838,0.6230166534888746,-503814.82938756846,0.8416750900786091,,0.9,1.0,,,
horizon_scale,D,806561.0378630138,1058571.8477882908,0.6000290864521118,-635825.5126520547,0.8016015867417395,,0.9,1.0,,,
horizon_scale,C,975304.9976937844,1351469.9344005852,0.4131371443783667,-718060.9615639856,0.7743477753604796,,0.95,0.7,,,
horizon_scale,D,735689.3757068494,977518.585003542,0.6589345116602354,-493105.1900383563,0.8461350082273916,,0.95,0.7,,,
horizon_scale,C,930331.2866197441,1286690.4325504124,0.4680485601301403,-667008.0456398538,0.7903912656339557,,0.95,0.75,,,
horizon_scale,D,735689.3757068494,977518.585003542,0.6589345116602354,-493105.1900383563,0.8461350082273916,,0.95,0.75,,,
horizon_scale,C,889771.6463903108,1227225.639207008,0.5160809873965082,-615955.1297157222,0.8064347559074316,,0.95,0.8,,,
horizon_scale,D,735689.3757068494,977518.585003542,0.6589345116602354,-493105.1900383563,0.8461350082273916,,0.95,0.8,,,
horizon_scale,C,852723.2771078611,1173883.5055147381,0.5572344261774704,-564902.2137915906,0.8224782461809078,,0.95,0.85,,,
horizon_scale,D,735689.3757068494,977518.585003542,0.6589345116602354,-493105.1900383563,0.8461350082273916,,0.95,0.85,,,
horizon_scale,C,819779.5128711152,1127533.331744267,0.591508876473027,-513849.29786745895,0.8385217364543839,,0.95,0.9,,,
horizon_scale,D,735689.3757068494,977518.585003542,0.6589345116602354,-493105.1900383563,0.8461350082273916,,0.95,0.9,,,
horizon_scale,C,793504.9519506398,1089068.2065652828,0.618904338283178,-462796.38194332743,0.85456522672786,,0.95,0.95,,,
horizon_scale,D,735689.3757068494,977518.585003542,0.6589345116602354,-493105.1900383563,0.8461350082273916,,0.95,0.95,,,
horizon_scale,C,772333.3985255942,1059347.4017481483,0.6394208116079235,-411743.46601919574,0.8706087170013359,,0.95,1.0,,,
horizon_scale,D,735689.3757068494,977518.585003542,0.6589345116602354,-493105.1900383563,0.8461350082273916,,0.95,1.0,,,
horizon_scale,C,966091.725402194,1345118.1820340506,0.41864055629342656,-625989.5981956125,0.8032814022832064,,1.0,0.7,,,
horizon_scale,D,683628.8723013699,918167.923628688,0.6990932270693878,-350384.86742465757,0.8906684297130439,,1.0,0.7,,,
horizon_scale,C,921118.0143281536,1280017.2691282858,0.47355197204520016,-574936.6822714808,0.8193248925566825,,1.0,0.75,,,
horizon_scale,D,683628.8723013699,918167.923628688,0.6990932270693878,-350384.86742465757,0.8906684297130439,,1.0,0.75,,,
horizon_scale,C,880558.3740987203,1220227.3188127356,0.5215843993115681,-523883.7663473491,0.8353683828301587,,1.0,0.8,,,
horizon_scale,D,683628.8723013699,918167.923628688,0.6990932270693878,-350384.86742465757,0.8906684297130439,,1.0,0.8,,,
horizon_scale,C,843510.0048162707,1166565.225167216,0.5627378380925303,-472830.85042321763,0.8514118731036349,,1.0,0.85,,,
horizon_scale,D,683628.8723013699,918167.923628688,0.6990932270693878,-350384.86742465757,0.8906684297130439,,1.0,0.85,,,
horizon_scale,C,810566.2405795247,1119912.2082753605,0.597012288388087,-421777.934499086,0.8674553633771109,,1.0,0.9,,,
horizon_scale,D,683628.8723013699,918167.923628688,0.6990932270693878,-350384.86742465757,0.8906684297130439,,1.0,0.9,,,
horizon_scale,C,784291.6796590494,1081175.9794784514,0.6244077501982379,-370725.01857495436,0.883498853650587,,1.0,0.95,,,
horizon_scale,D,683628.8723013699,918167.923628688,0.6990932270693878,-350384.86742465757,0.8906684297130439,,1.0,0.95,,,
horizon_scale,C,763120.1262340037,1051232.0665012174,0.6449242235229834,-319672.10265082266,0.8995423439240632,,1.0,1.0,,,
horizon_scale,D,683628.8723013699,918167.923628688,0.6990932270693878,-350384.86742465757,0.8906684297130439,,1.0,1.0,,,
horizon_scale,C,972519.4343318099,1351347.7872925468,0.41324322200449726,-533918.2348272395,0.8322150292059337,,1.05,0.7,,,
horizon_scale,D,653293.8316575342,884897.5154162116,0.7205052326795689,-207664.5448109588,0.9352018511986961,,1.05,0.7,,,
horizon_scale,C,927545.7232577697,1286562.1352459071,0.468154637756271,-482865.3189031077,0.8482585194794097,,1.05,0.75,,,
horizon_scale,D,653293.8316575342,884897.5154162116,0.7205052326795689,-207664.5448109588,0.9352018511986961,,1.05,0.75,,,
horizon_scale,C,886986.0830283364,1227091.1246353267,0.5161870650226388,-431812.40297897614,0.8643020097528858,,1.05,0.8,,,
horizon_scale,D,653293.8316575342,884897.5154162116,0.7205052326795689,-207664.5448109588,0.9352018511986961,,1.05,0.8,,,
horizon_scale,C,849937.7137458866,1173742.8777851267,0.557340503803601,-380759.48705484456,0.8803455000263619,,1.05,0.85,,,
horizon_scale,D,653293.8316575342,884897.5154162116,0.7205052326795689,-207664.5448109588,0.9352018511986961,,1.05,0.85,,,
horizon_scale,C,816993.9495091408,1127386.922412207,0.5916149540991578,-329706.5711307129,0.896388990299838,,1.05,0.9,,,
horizon_scale,D,653293.8316575342,884897.5154162116,0.7205052326795689,-207664.5448109588,0.9352018511986961,,1.05,0.9,,,
